STOCK_REGION,STATION_ID,CLAT,CLON
BBRKC,A-02,55,-166.93
BBRKC,A-03,55,-166.33
BBRKC,A-04,55,-165.75
BBRKC,A-05,55,-165.15
BBRKC,A-06,55,-164.58
BBRKC,B-01,55.33,-167.55
BBRKC,B-02,55.33,-166.96
BBRKC,B-03,55.33,-166.35
BBRKC,B-04,55.33,-165.78
BBRKC,B-05,55.33,-165.16
BBRKC,B-06,55.33,-164.58
BBRKC,B-07,55.33,-164
BBRKC,B-08,55.33,-163.41
BBRKC,C-01,55.66,-167.58
BBRKC,C-02,55.66,-166.98
BBRKC,C-03,55.66,-166.38
BBRKC,C-04,55.66,-165.8
BBRKC,C-05,55.66,-165.16
BBRKC,C-06,55.66,-164.58
BBRKC,C-07,55.66,-164
BBRKC,C-08,55.66,-163.4
BBRKC,C-09,55.66,-162.83
BBRKC,D-01,56,-167.61
BBRKC,D-02,56,-167
BBRKC,D-03,56,-166.4
BBRKC,D-04,56,-165.78
BBRKC,D-05,56,-165.18
BBRKC,D-06,56,-164.58
BBRKC,D-07,56,-164
BBRKC,D-08,56,-163.4
BBRKC,D-09,56,-162.81
BBRKC,D-10,56,-162.23
BBRKC,E-01,56.33,-167.65
BBRKC,E-02,56.33,-167.03
BBRKC,E-03,56.33,-166.41
BBRKC,E-04,56.33,-165.8
BBRKC,E-05,56.33,-165.2
BBRKC,E-06,56.33,-164.58
BBRKC,E-07,56.33,-164
BBRKC,E-08,56.33,-163.4
BBRKC,E-09,56.33,-162.8
BBRKC,E-10,56.33,-162.2
BBRKC,E-11,56.33,-161.61
BBRKC,E-12,56.33,-161
BBRKC,F-01,56.66,-167.66
BBRKC,F-02,56.66,-167.06
BBRKC,F-03,56.66,-166.43
BBRKC,F-04,56.66,-165.83
BBRKC,F-05,56.66,-165.21
BBRKC,F-06,56.66,-164.6
BBRKC,F-07,56.66,-164
BBRKC,F-08,56.66,-163.38
BBRKC,F-09,56.66,-162.78
BBRKC,F-10,56.66,-162.18
BBRKC,F-11,56.66,-161.58
BBRKC,F-12,56.66,-160.98
BBRKC,F-13,56.66,-160.36
BBRKC,F-14,56.66,-159.75
BBRKC,G-01,57,-167.7
BBRKC,G-02,57,-167.08
BBRKC,G-03,57,-166.46
BBRKC,G-04,57,-165.85
BBRKC,G-05,57,-165.21
BBRKC,G-06,57,-164.6
BBRKC,G-07,57,-164
BBRKC,G-08,57,-163.38
BBRKC,G-09,57,-162.78
BBRKC,G-10,57,-162.16
BBRKC,G-11,57,-161.56
BBRKC,G-12,57,-160.95
BBRKC,G-13,57,-160.33
BBRKC,G-14,57,-159.71
BBRKC,G-15,57,-159.11
BBRKC,H-01,57.33,-167.73
